name	bg22_2.fastq.VF.sorted.bam	bg22.fastq.VF.sorted.bam	bg5_2.fastq.VF.sorted.bam	bg5.fastq.VF.sorted.bam	bg6_2.fastq.VF.sorted.bam	bg6.fastq.VF.sorted.bam	bg7_2.fastq.VF.sorted.bam	bg7.fastq.VF.sorted.bam	bg8_2.fastq.VF.sorted.bam	bg8.fastq.VF.sorted.bam	sba15.fastq.VF.sorted.bam	sba16.fastq.VF.sorted.bam	sba17_1.fastq.VF.sorted.bam	sba17_2.fastq.VF.sorted.bam	sba19_1.fastq.VF.sorted.bam	sba19_2.fastq.VF.sorted.bam	sba20_1.fastq.VF.sorted.bam	sba20_2.fastq.VF.sorted.bam	sba38.fastq.VF.sorted.bam	sba46.fastq.VF.sorted.bam	sba47.fastq.VF.sorted.bam	sba48.fastq.VF.sorted.bam	sba49.fastq.VF.sorted.bam	sba50.fastq.VF.sorted.bam
VFG2429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VFG2534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
